,Unnamed: 0,foodID,name,cuisine,course,Regions,isVeg,isSugarFree,isHighProtein,isGluttenFree,isSattvic,isVegan,allergies,totalCaloriesInCal
18,18,19,Homemade Tater Tots ,Continental,Appetizer,6,1,0,0,0,0,0,None,18
19,19,20,Chettinad Vegetable Casserole  - Chettinad Vegetable Pulao ,Chettinad,Dinner,9,1,0,0,0,0,0,None,359
20,20,21,Garlic Amla Chutney  - Lehsun Amla Chutney ,Tamil Nadu,Side Dish,10,1,0,0,0,0,0,None,70
21,21,22,Maharashtrian Kakdi Thalipeeth  - Spiced Cucumber Flat Bread,Maharashtrian ,Indian Breakfast,11,0,1,0,0,0,0,None,100
22,22,23,Homemade Healthy Subway Sandwich  With Beet & Sprout,Fusion,Dinner,5,1,0,1,0,0,0,lactose,400
23,23,24,South Indian Style Murungakkai Poriyal  - Drumstick Stir Fry,South Indian ,Side Dish,1,1,0,0,0,0,0,None,176
24,24,25,Kesar Mango Lassi  - Saffron Mango Lassi ,Indian,Snack,0,1,0,0,0,0,0,lactose,360
25,25,26,Chettinad Sweet Paniyaram  - Chettinad Sweet Paniyaram ,Chettinad,Snack,9,1,0,0,0,0,0,None,1960
26,26,27,Mini Dal Samosa Curry / Sabzi ,North Indian ,Lunch,12,1,0,0,0,0,0,lactose,103
27,27,28,Spinach Garlic Bruschetta  With Red Bell Pepper Sauce,Italian,Appetizer,13,1,0,0,0,0,0,lactose,89
28,28,29,Mini Dal Mature Chat  - That Perfect Party Snack,Sindhi,Appetizer,14,1,0,0,0,0,0,None,101
29,29,30,Asian Style Sweet & Spicy Green Beans ,Thai,Side Dish,15,1,0,1,0,0,0,peanuts,58
30,30,31,Chinese Darsaan  With Ice Cream,Chinese,Dessert,16,1,0,0,0,0,0,None,200
31,31,32,Sundakkai and Methi Leaves Sambar  - Sundkai Methi Sambar ,South Indian ,Lunch,1,0,1,0,0,0,0,None,140
32,32,33,"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing ",Continental,Appetizer,6,1,0,0,0,0,0,None,90
33,33,34,Matar Samosa  -Green Pea Samosa,North Indian ,Snack,12,1,0,0,0,0,0,None,121
34,34,35,Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,Continental,Dessert,6,1,0,0,0,0,0,lactose,1217
35,35,36,Kerala pala pradham ,kerala,Dessert,17,1,0,0,0,0,0,lactose,65
36,36,37,Tindora Sambharo  - Instant Tendli Pickle,Gujarati ?,Side Dish,18,1,0,0,0,0,0,None,102
37,37,38,Chettinad Style Chicken Roast ,Chettinad,Appetizer,9,0,0,1,0,0,0,lactose,1800
38,38,39,Palakottai Kujambu -Kongunad Style Jackfruit Seeds Curry,Tamil Nadu,Side Dish,10,1,0,0,0,0,0,None,92
39,39,40,Baingan Bharta  - Brinjal Bharta ,Punjabi,Side Dish,8,1,0,0,0,0,0,lactose,112
40,40,41,Kesar Chai  - A Delicious Saffron Flavored Indian Tea,North Indian ,North Indian Breakfast,12,1,0,0,0,0,0,lactose,368
41,41,42,Pacha Manga Pachadi  - Tamil Nadu Raw Mango Pachadi,Tamil Nadu,Side Dish,10,1,0,0,0,0,0,None,1070
42,42,43,Short Knot Husband  - Raw Jackfruit & Black Chickpea Stir Fry,Coorg,Lunch,19,1,0,0,0,0,0,None,120
43,43,44,Whole Wheat Crepe  With Herbed Vegetables,Coorg,Lunch,19,1,0,0,0,0,0,lactose,265
44,44,45,Makki and Methi Roti ,Punjabi,Lunch,8,1,0,0,0,0,0,None,75
45,45,46,Cabbage and Carrot Sambharo  - Gujarati Vegetable Stir Fry,Gujarati ?,Lunch,18,1,0,0,0,0,0,None,242
46,46,47,Whole Wheat Pita Bread ,Continental,Main Course,6,1,0,0,0,0,0,None,170
47,47,48,Andhra Steel Tomato Knock  (Tomato Chutney),Andhra,Side Dish,2,1,0,0,0,0,0,None,1456
48,48,49,Herbal Brown Rice  - Herbal Brown Rice ,Continental,Side Dish,6,1,0,0,0,0,0,None,112
49,49,50,Aamras  - Ripe Mango Ras,North Indian ,Side Dish,12,1,0,0,0,0,1,None,67
50,50,51,Rajasthani very roti ,Rajasthani,Lunch,20,1,0,0,0,0,0,None,115
51,51,52,Peerkangai Thogayal  (Ridge Gourd Peel Chutney),South Indian ,Side Dish,1,1,0,0,0,0,0,None,205
52,52,53,Dalia Pakora  - Dalia Pakora ,Indian,Snack,0,1,0,0,0,0,0,None,206
53,53,54,Paneer Tikka Saddle Roll ,Bengali ,Snack,7,1,0,0,0,0,0,lactose,197
54,54,55,Pan Fried Rice Balls Filled With Cheese ,Continental,Appetizer,6,1,0,0,0,0,0,lactose,683
55,55,56,Spicy Seafood Stew Casserole With Tomatoes And Lime ,South Indian ,Lunch,1,0,0,0,0,0,0,lactose,347
56,56,57,Spicy Chilli Garlic Noodles ,Asian,Dinner,21,1,0,0,0,0,0,None,324
57,57,58,Chanar Dal  - Bengali Steel Paneer & Potato Gravy,Bengali ,Lunch,7,1,0,0,0,0,0,lactose,222
58,58,59,Cheesy Garlic Broccoli Nuggets ,Indian,Snack,0,0,0,0,0,0,0,lactose,150
59,59,60,Bengali radish potato vegetable ,Bengali ,Lunch,7,1,0,0,0,0,0,None,170
60,60,61,Beetroot Sambar ,South Indian ,Lunch,1,1,0,1,0,0,0,None,90
61,61,62,Kaddu Palak Roti  (Pumpkin Spinach Flat Bread),North Indian ,Indian Breakfast,12,1,0,1,0,0,0,None,83
62,62,63,Iranian Baida Curry ,Middle Eastern,Lunch,22,0,0,0,0,0,0,None,83
63,63,64,Vegan Chickpea Omelette  (Spiced Chickpea Flour Pancakes),North Indian ,North Indian Breakfast,12,1,0,1,0,0,0,lactose,480
64,64,65,Peanut Pudding  - Salt Pudding / Firm Mod Modak,Maharashtrian ,Snack,11,1,0,0,0,0,0,None,120
65,65,66,Singapore Style Chicken Layered Fried Rice ,Asian,Main Course,21,1,0,0,0,0,0,None,343
66,66,67,Tofu Pulao ,Indian,Dinner,0,1,0,0,0,0,0,None,415
67,67,68,Masala Sandwich  With Rocket Leaves,Fusion,Indian Breakfast,5,1,0,0,0,0,0,lactose,300
68,68,69,Tomato Relish ,Continental,Side Dish,6,1,0,0,0,0,0,None,90
69,69,70,Dubuk Vade  - Khandeshi Gram Flour Dumpling Curry,Maharashtrian ,Lunch,11,1,0,0,0,0,0,None,285
70,70,71,Radish Soup ,Indian,Side Dish,0,1,0,0,0,0,0,None,203
71,71,72,Mango Donut Cake  With Chocolate Glaze,Continental,Dessert,6,1,0,0,0,0,0,lactose,378
72,72,73,Matar Paneer Kachori Korma  - Green Peas And Paneer Kachori Curry,North Indian ,Lunch,12,1,0,0,0,0,0,lactose,330
73,73,74,Zucchini Roll Up Lasagne ,Continental,Dinner,6,1,0,0,0,0,0,lactose,315
74,74,75,Thengai Sadam  (A Quick and Healthy Coconut Rice),South Indian ,Lunch,1,1,0,0,0,0,0,peanuts,290
75,75,76,Karwar Style Ambade Udid Methi  - Hog Plum Curry,Coastal Karnataka,Lunch,23,1,0,0,0,0,0,None,259
76,76,77,Roasted Cauliflower ,South Indian ,Dinner,1,1,0,0,0,0,0,None,25
77,77,78,Pain Viennois | Vienna Bread ,European,Main Course,24,0,0,0,0,0,0,lactose,360
78,78,79,Crunchy Ginger Capsicum Rice ,Indian,Lunch,0,1,0,0,0,0,0,lactose,203
79,79,80,Bengali Chirer Payesh / Poha Pudding  With Nolen Gur,Bengali ,Dessert,7,1,0,0,0,0,0,lactose,420
80,80,81,Makhan  (Homemade Butter),North Indian ,Side Dish,12,1,0,0,0,0,0,lactose,347
81,81,82,Shanghai Style Chap Nian Gao s (Stir Fried Rice Cakes s),Chinese,One Pot Dish,16,1,0,0,0,0,0,mushroom,308
82,82,83,White Pumpkin Mor Kuzhambu  - Kerala Style White Pumpkin Curry,kerala,Lunch,17,1,0,0,0,0,0,lactose,87
83,83,84,Paneer and Green Peas Paratha  - Paneer and Green Peas Paratha ,North Indian ,North Indian Breakfast,12,1,0,1,0,0,0,lactose,178
84,84,85,Elephant Yam Raita ,Indian,Side Dish,0,1,0,0,0,0,0,None,118
85,85,86,Drunken Noodles  - Drunken Noodles ,Thai,Main Course,15,1,0,0,0,0,0,None,260
86,86,87,Chettinad Style Prawn Biryani ,Chettinad,Lunch,9,0,0,0,0,0,0,lactose,300
87,87,88,Walnut and Flax Seed Trail Mix  With Figs and Honey,Continental,World Breakfast,6,1,0,0,0,0,0,peanuts,534
88,88,89,Murgh Malaiwala  - Chicken In Rich Creamy Gravy,North Indian ,Lunch,12,0,0,0,0,0,0,lactose,264
89,89,90,Paal Kesari  - South Indian Style Milk Kesari,South Indian ,Dessert,1,1,0,0,0,0,0,lactose,321
90,90,91,Spicy Lemon Chicken Kebab ,Indian,Appetizer,0,0,0,0,0,0,0,None,266
91,91,92,Paneer Butter Masala Biryani  - Layered Paneer Butter Masala Biryani ,North Indian ,Main Course,12,1,0,0,0,0,0,lactose,201
92,92,93,Gond Ke Ladoo  - Edible Gum Ladoo,North Indian ,Dessert,12,1,0,0,0,0,0,None,142
93,93,94,Mukhadi Halwa  (Semolina & All Purpose Flour Halwa),North Indian ,Dessert,12,1,0,0,0,0,0,lactose,285
94,94,95,Kobari Charu  - Kobbari Charu ,South Indian ,Lunch,1,1,0,1,0,0,0,lactose,230
95,95,96,Basil Tincture  (Or) - Herbal Drink From Basil,Indian,Side Dish,0,1,0,0,0,0,0,None,442
96,96,97,Carrot Corn Mayo Pancake  With Sandwich Spread,Continental,World Breakfast,6,1,0,0,0,0,0,lactose,191
97,97,98,Tamil Nadu Style Spicy Egg Fry ,Tamil Nadu,Appetizer,10,0,0,0,0,0,0,None,207
98,98,99,Chirer Dudh Puli  - Bengali Style Baten Rice Dumpling Milk,Bengali ,Dessert,7,1,0,0,0,0,0,lactose,1840
99,99,100,Waffle Broth  - Puppet's Yamarinta Crovy,South Indian ,Lunch,1,1,0,0,0,0,0,None,1268
100,100,101,Kashmiri Style Modur Pulao With Pomegranate ,Kashmiri,Lunch,25,1,0,0,0,0,0,lactose,294
101,101,102,North Indian Style Mushroom Matar Masala ,North Indian ,Lunch,12,1,0,1,0,0,0,mushroom,152
102,102,103,Dhania Chole Masala  - Chickpeas In Fresh Coriander Gravy,North Indian ,Main Course,12,1,0,1,0,0,0,None,223
103,103,104,Capsicum Masala Poriyal ,South Indian ,Lunch,1,1,0,0,0,0,0,peanuts,116
104,104,105,Kerala Style Raw Banana and Suran Kotu Curry  - Kerala Style Plantain & Yam Thoran ,kerala,Dinner,17,1,0,0,0,0,0,None,180
105,105,106,Cheese Stuffed Aloo Bonda ,Indian,Snack,0,1,0,0,0,0,0,lactose,407
106,106,107,Dahi Wale Paneer  - Paneer In A Curd Gravy,North Indian ,Lunch,12,1,0,1,0,0,0,lactose,314
107,107,108,Nutty Aloo Paratha ,North Indian ,North Indian Breakfast,12,1,0,0,0,0,0,lactose,177
108,108,109,Chicken Tikka Taco  Topped With Cheesy Garlic Mayo,Mexican,Dinner,4,0,0,0,0,0,0,None,410
109,109,110,Masalewali Turai Sabzi  - Masalawali Turai Sabzi ,North Indian ,Side Dish,12,1,0,0,0,0,0,None,174
110,110,111,Pudina Mushroom And Soya Biryani ,Indian,Main Course,0,1,0,1,0,0,0,lactose,206
111,111,112,White Vegetable Kurma  With Coconut & Cashew,South Indian ,Side Dish,1,1,0,0,0,0,0,None,188
112,112,113,Muttaikose Poriyal  - Cabbage Stir fry With Coconut,South Indian ,Side Dish,1,0,0,0,0,1,0,None,167
113,113,114,Bengaluru Style Brinjal Gravy  - For Biryani,Karnataka,Side Dish,26,1,0,0,0,0,0,None,138
114,114,115,PF Chang's Style Crispy Chicken Lettuce Wraps ,Asian,Appetizer,21,0,0,0,0,0,0,mushroom,550
115,115,116,Lemon Frozen Yogurt ,Continental,Snack,6,1,0,0,0,0,0,lactose,114
116,116,117,Paneer Capsicum Sandwich ,Continental,World Breakfast,6,1,0,1,0,0,0,lactose,158
117,117,118,Dry Suran Masala Vegetable ,North Indian ,Side Dish,12,1,0,0,0,0,0,None,187
118,118,119,One Pot Pressure Cooker Chicken Curry  - One Pot Pressure Cooker Chicken Curry ,South Indian ,Lunch,1,0,0,0,0,0,0,None,402
119,119,120,Lauki Ka Salan  - Bottle Gourd Salan ,Andhra,Lunch,2,1,0,0,0,0,0,peanuts,134
120,120,121,Togari Bell Thove  - Tour Dal Juice,South Indian ,Lunch,1,1,0,1,0,0,0,None,140
121,121,122,Chicken Shawarma ,Middle Eastern,Main Course,22,0,0,0,0,0,0,lactose,392
122,122,123,Mushroom Paratha ,North Indian ,Lunch,12,1,0,1,0,0,0,mushroom,142
123,123,124,Palak Chana Dal  - Healthy Spinach Gram Dal ,North Indian ,Lunch,12,1,0,1,0,0,0,None,221
124,124,125,Pasi Paruppu Kosumalli  (Spiced Lentil Salad ),South Indian ,Lunch,1,1,0,0,0,0,0,None,160
125,125,126,Maharashtrian Style Semolina and Yogurt Cake ,Maharashtrian ,Dessert,11,1,0,0,0,0,0,lactose,192
126,126,127,Ragi Masala Roti ,South Indian ,Lunch,1,0,1,0,0,0,0,None,56
127,127,128,Dry Sweet Potato Thoran ,kerala,Side Dish,17,1,0,0,0,0,0,None,212
128,128,129,Oreo Milkshake ,Continental,Snack,6,1,0,0,0,0,0,lactose,262
129,129,130,Mexican Grilled Corn Flavoured With Cheesy Garlic Mayo ,Mexican,Snack,4,1,0,0,0,0,0,lactose,265
130,130,131,Paneer Matar Butter Masala (Indian Cottage Cheese and Peas Masala With Butter) ,North Indian ,Dinner,12,1,0,1,0,0,0,lactose,451
131,131,132,Dhugare Baingan  - Dhungare Baingan ,Lucknowi,Side Dish,27,1,0,0,0,0,0,lactose,221
132,132,133,Rajasthani Style Dried Gatta Capsicum Vegetable ,Rajasthani,Side Dish,20,0,0,0,0,1,0,lactose,385
133,133,134,Indo Chinese Crispy Chicken Chilli ,Fusion,Appetizer,5,0,0,1,0,0,0,None,320
134,134,135,And fish soup  - Bengali fish curry,Bengali ,Lunch,7,0,0,1,0,0,0,None,315
135,135,136,Stem Lettuce Tamarind Broth  - Surri left behind by Amarnath Greens,South Indian ,Lunch,1,0,1,0,0,0,0,None,29
136,136,137,Crispy Masala Peanuts  - Gujarati Sing Bhujia,Gujarati ?,Snack,18,1,0,1,0,0,0,peanuts,613
137,137,138,Maa Ki Dal (),Punjabi,Dinner,8,1,0,1,0,0,0,None,139
138,138,139,Palak Mushroom Makhani  - Creamy Spinach & Mushroom,North Indian ,Lunch,12,1,0,1,0,0,0,lactose,180
139,139,140,Dahi Bhalla Papdi Chaat ,North Indian ,Lunch,12,1,0,1,0,0,0,peanuts,592
140,140,141,Wheat Grass Shikanji - Wheat Grass Lemonade ,Indian,Snack,0,1,0,0,0,0,0,None,25
141,141,142,Chole Masala  - Dry Masala Chickpeas (),Punjabi,Lunch,8,1,0,1,0,0,0,None,223
142,142,143,Rajasthani Kachri Chutney  - Rajasthani Kachri Ki Chutney ,Rajasthani,Side Dish,20,1,0,0,0,0,0,None,157
143,143,144,Fasting Potato Paneer  - Potato Paneer Curry Without Onion And Garlic ,North Indian ,Lunch,12,1,0,0,0,0,0,lactose,206
144,144,145, Katachi Amti ,Maharashtrian ,Lunch,11,1,0,0,0,0,0,None,287
145,145,146,Khara Obbattu  (Bread Stuffed With Spicy Potato Mixture ),Karnataka,Lunch,26,1,0,0,0,0,0,lactose,175
146,146,147,Cauliflower Matar Bhurji ,Indian,Dinner,0,1,0,0,0,0,0,None,164
147,147,148,Kashmiri Style Paneer Masala ,Kashmiri,Lunch,25,1,0,0,0,0,0,lactose,124
148,148,149,Aromatic Vegetable Pulao ,Indian,Lunch,0,1,0,0,0,0,0,None,250
149,149,150,Spicy Curd  - Spicy Curd With Onions,Indian,Side Dish,0,1,0,0,0,0,0,None,90
150,150,151,Mustard Vegetable Curry ,Indian,Side Dish,0,1,0,0,0,0,0,lactose,200
151,151,152,One Pot Spicy Vegetable Pulao  with Coconut Milk,Indian,Dinner,0,1,0,0,0,0,0,lactose,330
152,152,153,Bengali Aloo Dum  - Bengali Aloo Dum ,Bengali ,Main Course,7,1,0,0,0,0,0,lactose,134
153,153,154,Hyderabad Soy Biryani  With Vegetables & Palak,Hyderabadi,Main Course,28,1,0,0,0,0,0,lactose,600
154,154,155,North Indian Feni  - Sevaiyan Kheer,North Indian ,Dessert,12,1,0,0,0,0,0,lactose,248
155,155,156,South Indian Papad Curry  - Appalam Vathal Kuzhambu,Tamil Nadu,Dinner,10,1,0,0,0,0,0,None,64
156,156,157,Moong Dal Khichdi  For Babies And Toddlers Over 10 Months,Indian,Lunch,0,1,0,0,0,0,0,None,342
157,157,158,Dahi Wale Aloo  (Indian Yogurt-based Potato Curry),North Indian ,Lunch,12,1,0,0,0,0,0,lactose,170
158,158,159,Vegetable Fried Brown Rice ,Chinese,Lunch,16,1,0,0,0,0,0,None,293
159,159,160,Eggless Devil's Food Cake ,Continental,Dessert,6,1,0,0,0,0,0,lactose,357
160,160,161,Bengali Langcha  With Mawa,Bengali ,Dessert,7,1,0,0,0,0,0,lactose,142
161,161,162,Kovakkai Podi Curry  - Tamil Nadu Style Ivy Gourd Stir Fry,Tamil Nadu,Lunch,10,0,1,0,0,0,0,None,220
162,162,163,Biryani Masala Powder  - Biryani Masala Powder ,Hyderabadi,Lunch,28,0,1,0,0,0,0,None,10
163,163,164,"Chicken Sausages, Baked Beans and Stir Fried Broccoli ",Continental,World Breakfast,6,0,0,0,0,0,0,lactose,485
164,164,165,Crispy Chicken Dumplings ,Indian,Snack,0,1,0,0,0,0,0,None,300
165,165,166,Turkish Chicken Gozleme -Stuffed Spinach Chicken Bread,Middle Eastern,Lunch,22,0,0,0,0,0,0,lactose,240
166,166,167,Moon Biscuits  (Moon Shaped Baked Cookies),Indian,Snack,0,1,0,0,0,0,0,lactose,200
167,167,168,Andaman Style Steamed Garlic Prawns ,Side Dish,Lunch,29,1,0,0,0,0,0,None,133
168,168,169,Fruit Pachadi ,South Indian ,Side Dish,1,1,0,0,0,0,0,lactose,150
169,169,170,Aloo Matar Masala Khichdi ,Indian,Main Course,0,1,0,0,0,0,0,None,190
170,170,171,Rock Toast  - Semolina Bread Toast,Indian,Indian Breakfast,0,1,0,0,0,0,0,lactose,231
171,171,172,Potato Vindaloo  (Spicy Goan Potato Curry),Goan ,Lunch,30,1,0,0,0,0,0,None,172
172,172,173,Lu Potol Post  (Lu Parwal In Poppy Seed Masala ),Bengali ,Dinner,7,1,0,0,0,0,0,None,112
173,173,174,Aloo Bhey Ki Sabzi  (Potato Lotus Stem Curry),North Indian ,Lunch,12,1,0,0,0,0,0,None,200
174,174,175,Classic Grilled Tomato Cucumber Chutney Sandwich ,Indian,Snack,0,1,0,0,0,0,0,lactose,100
175,175,176,Homemade Granola Mix  with Oats & Wheat Flakes,Continental,World Breakfast,6,1,0,1,0,0,0,None,150
176,176,177,Baingan Sarson Ka Saag ,North Indian ,Lunch,12,0,1,0,0,0,0,None,70
177,177,178,Kalyana Veetu Senai Curry  - South Indian Spicy Roasted Yam,Tamil Nadu,Side Dish,10,1,0,0,0,0,0,None,120
178,178,179,Chettinad Thakkali Sadam  (Chettinad Style Tomato Rice),Chettinad,Lunch,9,0,0,0,1,0,0,None,266
179,179,180,Thai Yellow Coconut Curry Rice ,Thai,Lunch,15,1,0,0,0,0,0,lactose,160
180,180,181, Stuffed Bhindi With Paneer ,North Indian ,Lunch,12,1,0,0,0,0,0,lactose,100
181,181,182,Bael Ka Sharbat  - Wood Apple Squash Drink,North Indian ,Appetizer,12,1,0,0,0,0,0,None,150
182,182,183,Raw Mango Murabba  - Cinnamon Spiced Mango Jam,Indian,Side Dish,0,1,0,0,0,0,0,None,69
183,183,184,Karnataka Style Gorai Kai Kara  - Cluster Beans Chutney,Karnataka,South Indian Breakfast,26,0,1,0,0,0,0,peanuts,60
184,184,185,Kunafa With Mango Cottage Cheese Cream ,Arab,Dessert,67,1,0,0,0,0,0,lactose,131
185,185,186,Royal Bread Gulab Jamun ,Indian,Dessert,0,1,0,0,0,0,0,lactose,290
186,186,187,Safed Achari Baingan  - White Aubergine in pickled spices,Indian,Dinner,0,1,0,0,0,0,0,None,210
187,187,188,Potlankaya Perugu Pachhadi  (Curd & Sunke Gourad Chutney),South Indian ,Side Dish,1,0,1,0,0,0,0,lactose,108
188,188,189,Karela Dahi Puri  - A Chatpata Chaat Made From Bitter Gourd,Indian,Snack,0,1,0,0,0,0,0,lactose,353
189,189,190,Kasuri Methi and Potato Frying ,North Indian ,Side Dish,12,1,0,0,0,0,0,None,381
190,190,191,Sprouted Matki Chila  with Spinach - Moth Bean Chila,North Indian ,North Indian Breakfast,12,0,1,0,0,0,0,None,241
191,191,192,Malabar Kaai Curry  With Nenthra Pazham,kerala,Dessert,17,0,0,0,1,0,0,lactose,170
192,192,193,Assamese Sweet Kordoi ,Assamese,Snack,31,1,0,0,0,0,0,None,105
193,193,194,Steamed Bafauri  (Bhojpuri Style Steamed Chana Dal Balls),Bihari,Snack,32,1,0,1,0,0,0,None,190
194,194,195,Jodhpuri Aloo ,Rajasthani,Lunch,20,1,0,0,0,0,0,None,216
195,195,196,Vedakkai Thoran  - Kerala Style Bhindi Stir Fry,kerala,Lunch,17,0,1,0,0,0,0,None,146
196,196,197,Gram and Potato Dry Vegetable ,North Indian ,Lunch,12,1,0,1,0,0,0,None,230
197,197,198,Tomato Chicken Roast  Flavoured With Kasuri Methi,Indian,Side Dish,0,0,0,0,0,0,0,None,105
198,198,199,Nellikai Oorugai / Amla Sambhario  (Instant Gooseberry Piccile ),Indian,Side Dish,0,1,0,0,0,0,0,None,31
199,199,200,Baingan Sarson Ka Saag  - Brinjal Mustard Saag ,North Indian ,Lunch,12,0,1,0,0,0,0,None,84
200,200,201,Stuffed Arbi Paratha ,North Indian ,Lunch,12,1,0,0,0,0,0,None,150
201,201,202,Tomato Curry Leaf Chutney  - Tomato Curry Leaf Chutney ,South Indian ,Side Dish,1,1,0,0,0,0,0,None,20
202,202,203,Rajasthani Goonde Vegetable  (Bird Lime Stir Fry),Rajasthani,Side Dish,20,1,0,0,0,0,0,None,519
203,203,204,Raw Jackfruit Burrito ,Mexican,Lunch,4,1,0,0,0,0,0,lactose,350
204,204,205,Bengali gram dal ,Bengali ,Lunch,7,1,0,1,0,0,0,None,92
205,205,206,Hyderabadi Vegetable Biryani  - Hyderabadi Vegetable Biryani ,Hyderabadi,Lunch,28,1,0,0,0,0,0,None,580
206,206,207,Chocolate Chip & Raisin Rolls ,Continental,Snack,6,1,0,0,0,0,0,lactose,160
207,207,208,Baby Corn Cigar ,North Indian ,Appetizer,12,1,0,0,0,0,0,None,120
208,208,209,Wheat Millet Thepla  - Bajra Masala Paratha,Gujarati ?,Main Course,18,0,1,0,0,0,0,None,65
209,209,210,Kaju Badam Ladoo ,Indian,Dessert,0,1,0,0,0,0,0,None,50
210,210,211,Spaghetti Aglio Olio With Parmesan & Greens ,Italian,Dinner,13,1,0,0,0,0,0,lactose,440
211,211,212,Mushroom Dumpling  With Potatoes (Momos),Asian,Snack,21,1,0,1,0,0,0,mushroom,62
212,212,213,Tomato Curry Leaf Chutney With No Onion No Garlic ,South Indian ,Side Dish,1,1,0,0,0,0,0,None,36
213,213,214,Baked Oats and Whole Wheat Kachori Stuffed with Peas ,North Indian ,Snack,12,1,0,0,0,0,0,None,47
214,214,215,Masala Carrot And Peas Sandwich ,Continental,World Breakfast,6,1,0,0,0,0,0,lactose,90
215,215,216,Stuffed Onion Vegetable  - Bharwa Pyaz Ki Sabzi ,North Indian ,Side Dish,12,1,0,0,0,0,0,None,150
216,216,217,Aam Panna Pani Puri ,North Indian ,Appetizer,12,1,0,0,0,0,0,None,100
217,217,218,Quinoa Vegetable Upma ,Fusion,Indian Breakfast,5,0,1,0,0,0,0,None,150
218,218,219,Whole Wheat Espresso Chocolate Streusel Cake ,Continental,Dessert,6,1,0,0,0,0,0,lactose,260
219,219,220,Basella Fritters  - Malabar Spinach Fritters,Malabar,Snack,33,1,0,0,0,0,0,None,135
220,220,221,Fig Honey & Paprika Preserve ,Malabar,Snack,33,1,0,0,0,0,0,None,330
221,221,222,Sepu Vadi  (Himachali Split Urad Dal Dumplings In Spinach Gravy),Himachal,Side Dish,34,1,0,1,0,0,0,lactose,327
222,222,223,Himachali Dry Raw Mango Chutney ,Himachal,Side Dish,34,1,0,0,0,0,0,None,20
223,223,224,Vegan Navratan Korma ,North Indian ,Lunch,12,1,0,0,0,0,1,lactose,210
224,224,225,Lentils and Mixed Grains Khichda ,Rajasthani,Dinner,20,1,0,1,0,0,0,None,470
225,225,226,Chettinad Pakora Curry ,Chettinad,Side Dish,9,1,0,0,0,0,0,None,276
226,226,227,Banana Pomegranate Raita  - Kela Anar Raita,Indian,Side Dish,0,1,0,0,0,0,0,lactose,190
227,227,228,Dhania Wale Aloo  - Coriander Potato Dry,Indian,Lunch,0,1,0,0,0,0,0,lactose,400
228,228,229,Case Podimas  (South Indian Style Blindine Mash),Tamil Nadu,Side Dish,10,0,1,0,0,0,0,None,149
229,229,230,Baked Potato-Spaghetti Rolls ,Fusion,Appetizer,5,1,0,0,0,0,0,None,130
230,230,231,Rajasthani Ghasela  - Besan Ka Pitta ,Rajasthani,Lunch,20,1,0,0,0,0,0,None,280
231,231,232,Andhra Style Bendakaya Charu  - Ladies Finger Rasam,Andhra,Lunch,2,1,0,0,0,0,0,None,224
